tau,rho,eta,eta_neg_tau,eta_sphere,eta_series,resid_involution,resid_sphere,resid_series,resid_parabolic,u
0.5,0.05,1.04639828810215,1.04639828810215,1.04639828810215,1.04639828810215,0,2.22044604925031e-16,4.44089209850063e-16,0.116165729962612,0.0443409441985037
0.5,0.1,1.0973116711584,1.0973116711584,1.0973116711584,1.0973116711584,0,0,2.22044604925031e-16,0.121701915060842,0.0886818883970074
0.5,0.15,1.15343291334159,1.15343291334159,1.15343291334159,1.15343291334159,0,2.22044604925031e-16,2.22044604925031e-16,0.127791887700565,0.133022832595511
0.5,0.2,1.21560414164938,1.21560414164938,1.21560414164938,1.21560414164938,0,2.22044604925031e-16,0,0.1345230605683,0.177363776794015
0.5,0.25,1.28485939330796,1.28485939330796,1.28485939330796,1.28485939330796,0,0,0,0.142002250450814,0.221704720992518
0.5,0.3,1.36248258586859,1.36248258586859,1.36248258586859,1.36248258586859,0,2.22044604925031e-16,4.44089209850063e-16,0.150361373747382,0.266045665191022
0.5,0.35,1.45008785156384,1.45008785156384,1.45008785156384,1.45008785156384,0,2.22044604925031e-16,2.22044604925031e-16,0.159765270918682,0.310386609389526
0.5,0.4,1.54973299349831,1.54973299349831,1.54973299349831,1.54973299349831,0,4.44089209850063e-16,2.22044604925031e-16,0.170422648670723,0.35472755358803
0.5,0.45,1.66408317140407,1.66408317140407,1.66408317140407,1.66408317140407,0,2.22044604925031e-16,2.22044604925031e-16,0.182601689922592,0.399068497786533
0.5,0.5,1.79665282782809,1.79665282782809,1.79665282782809,1.79665282782809,0,0,6.66133814775094e-16,0.196652827828094,0.443409441985037
0.5,0.55,1.95217326285443,1.95217326285443,1.95217326285443,1.95217326285443,0,0,2.22044604925031e-16,0.213042828071823,0.487750386183541
0.5,0.6,2.13716920615404,2.13716920615404,2.13716920615404,2.13716920615404,0,0,1.33226762955019e-15,0.232407301392137,0.532091330382044
0.5,0.65,2.36089753771895,2.36089753771895,2.36089753771895,2.36089753771895,0,0,4.44089209850063e-16,0.255634379824213,0.576432274580548
0.5,0.7,2.63694456594133,2.63694456594133,2.63694456594133,2.63694456594133,0,4.44089209850063e-16,8.88178419700125e-16,0.284003389470739,0.620773218779052
0.5,0.75,2.98609224233325,2.98609224233325,2.98609224233325,2.98609224233325,0,4.44089209850063e-16,8.88178419700125e-16,0.319425575666587,0.665114162977555
0.5,0.8,3.44180890698348,3.44180890698348,3.44180890698348,3.44180890698348,0,8.88178419700125e-16,2.66453525910038e-15,0.364885830060403,0.709455107176059
0.5,0.85,4.06167328177726,4.06167328177726,4.06167328177726,4.06167328177726,0,8.88178419700125e-16,1.77635683940025e-15,0.425309645413627,0.753796051374563
0.5,0.9,4.95385473350547,4.95385473350547,4.95385473350547,4.95385473350547,0,0,1.77635683940025e-15,0.509410289061027,0.798136995573066
0.5,0.95,6.34831717252717,6.34831717252717,6.34831717252717,6.34831717252717,0,8.88178419700125e-16,3.5527136788005e-15,0.634031458241458,0.84247793977157
1,-0.95,0.618945337453795,0.618945337453795,0.618945337453795,0.618945337453795,0,0,1.11022302462516e-16,0.210782072147673,-0.615651559980691
1,-0.9,0.631612650366711,0.631612650366711,0.631612650366711,0.631612650366711,0,1.11022302462516e-16,1.11022302462516e-16,0.214945983700045,-0.583248846297497
1,-0.85,0.644809294081466,0.644809294081466,0.644809294081466,0.644809294081466,0,0,1.11022302462516e-16,0.219277379187849,-0.550846132614303
